, training loss, validation accuracy, validation loss,Epoch,Unnamed: 4,Unnamed: 5,Unnamed: 6
1,2.302522,0.121,2.3008450000000000,1.0,,,
4,2.299129,0.214,2.296329,2.0,,,
7,2.29453,0.27,2.290887,3.0,,,
10,2.288639,0.297,2.283348,4.0,,,
13,2.279835,0.302,2.271862,5.0,,,
16,2.265421,0.314,2.252231,6.0,,,
19,2.238841,0.335,2.213892,7.0,,,
22,2.182126,0.422,2.121486,8.0,,,
25,2.023285,0.561,1.821186,9.0,,,
28,1.497572,0.729,1.037204,10.0,,,
31,2.124666,0.535,1.823507,11.0,,,
34,1.6639440000000000,0.622,1.293294,12.0,,,
37,0.9949400000000000,0.762,0.728326,13.0,,,
40,0.5868140000000000,0.821,0.5238550000000000,14.0,,,
43,0.428753,0.881,0.405482,15.0,,,
46,0.357579,0.896,0.349582,16.0,,,
49,0.288479,0.902,0.311422,17.0,,,
52,0.248265,0.907,0.29781200000000000,18.0,,,
55,0.218007,0.923,0.268325,19.0,,,
58,0.194675,0.925,0.255603,20.0,,,
61,0.17443,0.925,0.25804100000000000,21.0,,,
64,0.160801,0.929,0.24684300000000000,22.0,,,
67,0.147904,0.934,0.233529,23.0,,,
70,0.13541,0.936,0.229048,24.0,,,
73,0.12570600000000000,0.938,0.22680100000000000,25.0,,,
76,0.121708,0.934,0.224183,26.0,,,
79,0.112124,0.941,0.20338700000000000,27.0,,,
82,0.10013,0.942,0.21487700000000000,28.0,,,
85,0.096454,0.948,0.21452800000000000,29.0,,,
88,0.08831700000000000,0.943,0.199658,30.0,,,
91,0.080032,0.947,0.198945,31.0,,,
94,0.074018,0.944,0.203921,32.0,,,
97,0.074538,0.946,0.194212,33.0,,,
100,0.066256,0.944,0.18996300000000000,34.0,,,
103,0.058819,0.946,0.1984,35.0,,,
106,0.054925,0.944,0.195401,36.0,,,
109,0.051179,0.945,0.20719400000000000,37.0,,,
112,0.049984,0.953,0.188699,38.0,,,
115,0.043211,0.949,0.187192,39.0,,,
118,0.040368,0.949,0.189968,40.0,,,
121,0.039958,0.952,0.18119000000000000,41.0,,,
124,0.033922,0.952,0.186127,42.0,,,
127,0.031978,0.954,0.18402000000000000,43.0,,,
130,0.029228000000000000,0.953,0.194932,44.0,,,
133,0.026553000000000000,0.952,0.20556,45.0,,,
136,0.024806,0.953,0.19255800000000000,46.0,,,
139,0.021666,0.952,0.198202,47.0,,,
142,0.020869,0.954,0.200079,48.0,,,
145,0.018499,0.956,0.202735,49.0,,,
148,0.017804,0.957,0.202293,50.0,,,
151,0.015364,0.955,0.194044,51.0,,,
154,0.014936000000000000,0.956,0.20308300000000000,52.0,,,
157,0.013060000000000000,0.953,0.201822,53.0,,,
160,0.011424,0.955,0.206775,54.0,,,
163,0.010546,0.954,0.223163,55.0,,,
166,0.010492,0.956,0.215352,56.0,,,
169,0.009034,0.958,0.21916800000000000,57.0,,,
172,0.008485,0.955,0.207341,58.0,,,
175,0.007725,0.956,0.229647,59.0,,,
178,0.006562,0.955,0.229738,60.0,,,
181,0.006220000000000000,0.958,0.228469,61.0,,,
184,0.005685,0.958,0.220662,62.0,,,
187,0.005427,0.957,0.22864400000000000,63.0,,,
190,0.004999,0.956,0.232337,64.0,,,
193,0.00448,0.956,0.225846,65.0,,,
196,0.004296,0.957,0.236618,66.0,,,
199,0.003936,0.958,0.238684,67.0,,,
202,0.003878,0.957,0.23497800000000000,68.0,,,
205,0.0035300000000000000,0.957,0.23950300000000000,69.0,,,
208,0.003146,0.959,0.24008400000000000,70.0,,,
211,0.00296,0.956,0.24879100000000000,71.0,,,
214,0.002933,0.96,0.243323,72.0,,,
217,0.00274,0.957,0.252189,73.0,,,
