Epoch, training loss, validation loss, validation accuracy, ,,
1,2.350890,2.303453,0.119000, ,,
2,2.301050,2.301975,0.098000, ,,
3,2.304899,2.298758,0.098000, ,,
4,2.299745,2.297280,0.119000, ,,
5,2.300180,2.297863,0.119000, ,,
6,2.299976,2.296837,0.175000, ,,
7,2.299430,2.296813,0.119000, ,,
8,2.299342,2.297051,0.119000, ,,
9,2.299357,2.296656,0.119000, ,,
10,2.299179,2.296855,0.198000, ,,
11,2.299438,2.296920,0.119000, ,,
12,2.299051,2.296724,0.119000, ,,
13,2.298985,2.296156,0.151000, ,,
14,2.298945,2.296018,0.123000, ,,
15,2.299024,2.296454,0.185000, ,,
16,2.298965,2.296402,0.119000, ,,
17,2.299206,2.296463,0.222000, ,,
18,2.298750,2.296176,0.223000, ,,
19,2.298757,2.296062,0.121000, ,,
20,2.298951,2.295955,0.136000, ,,
21,2.298199,2.296081,0.119000, ,,
22,2.298534,2.296107,0.123000, ,,
23,2.298547,2.295410,0.121000, ,,
24,2.298304,2.296013,0.105000, ,,
25,2.297984,2.295607,0.121000, ,,
26,2.298066,2.295424,0.119000, ,,
27,2.297814,2.295451,0.119000, ,,
28,2.297912,2.295085,0.119000, ,,
29,2.297960,2.295395,0.207000, ,,
30,2.297755,2.295685,0.119000, ,,
31,2.298102,2.295349,0.168000, ,,
32,2.297379,2.294941,0.119000, ,,
33,2.297884,2.294581,0.119000, ,,
34,2.297633,2.295091,0.120000, ,,
35,2.296910,2.295592,0.132000, ,,
36,2.297447,2.294732,0.119000, ,,
37,2.297571,2.294477,0.212000, ,,
38,2.296977,2.294947,0.207000, ,,
39,2.296978,2.294650,0.119000, ,,
40,2.297185,2.294622,0.121000, ,,
41,2.297230,2.294292,0.173000, ,,
42,2.296581,2.294066,0.119000, ,,
43,2.296843,2.294879,0.145000, ,,
44,2.296524,2.294158,0.119000, ,,
45,2.296569,2.293640,0.163000, ,,
46,2.296507,2.294178,0.119000, ,,
47,2.296719,2.294194,0.217000, ,,
48,2.296465,2.294203,0.119000, ,,
49,2.296014,2.293401,0.184000, ,,
50,2.296220,2.293444,0.119000, ,,
51,2.295726,2.293696,0.199000, ,,
52,2.295716,2.293606,0.228000, ,,
53,2.295596,2.293195,0.119000, ,,
54,2.295583,2.293531,0.127000, ,,
55,2.295511,2.293139,0.161000, ,,
56,2.295778,2.293110,0.189000, ,,
57,2.295782,2.293071,0.119000, ,,
58,2.295386,2.293143,0.176000, ,,
59,2.295086,2.292920,0.119000, ,,
60,2.294989,2.292804,0.148000, ,,
61,2.294779,2.292989,0.119000, ,,
62,2.294971,2.292610,0.163000, ,,
63,2.295001,2.292425,0.143000, ,,
64,2.294673,2.292306,0.123000, ,,
65,2.294616,2.292512,0.119000, ,,
66,2.294763,2.292552,0.157000, ,,
67,2.294567,2.292198,0.189000, ,,
68,2.294490,2.292484,0.119000, ,,
69,2.294368,2.292451,0.119000, ,,
70,2.294251,2.291825,0.230000, ,,
71,2.294055,2.291958,0.119000, ,,
72,2.293811,2.291785,0.119000, ,,
73,2.293839,2.291312,0.119000, ,,
74,2.294101,2.291790,0.133000, ,,
75,2.293770,2.291480,0.119000, ,,
76,2.293735,2.291714,0.230000, ,,
77,2.293770,2.291041,0.219000, ,,
78,2.293899,2.291317,0.119000, ,,
79,2.293227,2.291588,0.220000, ,,
80,2.293347,2.291136,0.219000, ,,
81,2.293541,2.290597,0.124000, ,,
