Epoch, training loss, validation loss, validation accuracy, ,,
1,2.385083,2.307805,0.157000, ,,
2,2.301163,2.296411,0.118000, ,,
3,2.295886,2.281132,0.130000, ,,
4,2.278567,2.266841,0.170000, ,,
5,2.266329,2.254822,0.305000, ,,
6,2.255011,2.242740,0.267000, ,,
7,2.242632,2.230880,0.331000, ,,
8,2.231146,2.219014,0.399000, ,,
9,2.219220,2.206221,0.415000, ,,
10,2.206773,2.193333,0.445000, ,,
11,2.193729,2.179806,0.471000, ,,
12,2.180507,2.165939,0.467000, ,,
13,2.167147,2.151332,0.502000, ,,
14,2.152177,2.136459,0.524000, ,,
15,2.137106,2.120028,0.523000, ,,
16,2.121223,2.103047,0.526000, ,,
17,2.104749,2.086032,0.549000, ,,
18,2.086672,2.066823,0.563000, ,,
19,2.067820,2.046724,0.567000, ,,
20,2.048506,2.025699,0.577000, ,,
21,2.026871,2.003633,0.596000, ,,
22,2.004735,1.979729,0.581000, ,,
23,1.981285,1.954761,0.601000, ,,
24,1.956739,1.929084,0.606000, ,,
25,1.930982,1.901237,0.618000, ,,
26,1.903586,1.872648,0.619000, ,,
27,1.874920,1.842748,0.634000, ,,
28,1.845185,1.811656,0.636000, ,,
29,1.814674,1.779706,0.642000, ,,
30,1.782584,1.746062,0.635000, ,,
31,1.750316,1.712618,0.653000, ,,
32,1.716690,1.678580,0.656000, ,,
33,1.683438,1.644498,0.661000, ,,
34,1.649073,1.609386,0.665000, ,,
35,1.615425,1.574477,0.669000, ,,
36,1.581032,1.540350,0.673000, ,,
37,1.547311,1.506667,0.682000, ,,
38,1.513730,1.473317,0.695000, ,,
39,1.480997,1.440287,0.691000, ,,
40,1.448879,1.408608,0.697000, ,,
41,1.417703,1.376763,0.696000, ,,
42,1.386707,1.347160,0.697000, ,,
43,1.356891,1.318523,0.708000, ,,
44,1.327911,1.289520,0.713000, ,,
45,1.299853,1.262065,0.720000, ,,
46,1.272889,1.235596,0.720000, ,,
47,1.246781,1.210253,0.729000, ,,
48,1.221394,1.186284,0.730000, ,,
49,1.196933,1.162339,0.734000, ,,
50,1.173238,1.139743,0.742000, ,,
51,1.150406,1.117656,0.745000, ,,
52,1.128410,1.096731,0.748000, ,,
53,1.107342,1.076592,0.746000, ,,
54,1.087086,1.057017,0.756000, ,,
55,1.067411,1.038489,0.760000, ,,
56,1.048252,1.019901,0.756000, ,,
57,1.029790,1.002227,0.766000, ,,
58,1.011791,0.985337,0.769000, ,,
59,0.994628,0.969312,0.764000, ,,
60,0.978200,0.953156,0.773000, ,,
61,0.962026,0.937881,0.774000, ,,
62,0.946362,0.923368,0.779000, ,,
63,0.931241,0.909217,0.780000, ,,
64,0.916669,0.895450,0.784000, ,,
65,0.902479,0.881729,0.787000, ,,
66,0.888587,0.869151,0.788000, ,,
67,0.875289,0.856647,0.790000, ,,
68,0.862208,0.844164,0.796000, ,,
69,0.849787,0.832397,0.797000, ,,
70,0.837597,0.821312,0.797000, ,,
71,0.825680,0.810556,0.797000, ,,
72,0.814320,0.799073,0.801000, ,,
73,0.802918,0.788654,0.803000, ,,
74,0.792395,0.779379,0.800000, ,,
75,0.781416,0.769225,0.803000, ,,
76,0.770964,0.759484,0.812000, ,,
77,0.760990,0.749885,0.812000, ,,
78,0.751260,0.741008,0.809000, ,,
79,0.741657,0.732338,0.814000, ,,
80,0.732254,0.723770,0.812000, ,,
81,0.723269,0.715746,0.809000, ,,
82,0.714678,0.707207,0.811000, ,,
83,0.705746,0.699461,0.823000, ,,
84,0.697358,0.691552,0.822000, ,,
85,0.689221,0.683968,0.820000, ,,
86,0.681447,0.676976,0.822000, ,,
87,0.673282,0.669796,0.826000, ,,
88,0.665919,0.663266,0.827000, ,,
89,0.658374,0.656452,0.825000, ,,
90,0.651006,0.649649,0.828000, ,,
91,0.644006,0.642829,0.828000, ,,
92,0.637079,0.636854,0.828000, ,,
93,0.630281,0.630827,0.832000, ,,
94,0.623697,0.625461,0.831000, ,,
95,0.617225,0.619321,0.830000, ,,
96,0.611120,0.613445,0.836000, ,,
97,0.605186,0.608238,0.841000, ,,
98,0.598974,0.602816,0.838000, ,,
99,0.592751,0.597389,0.845000, ,,
100,0.587025,0.592355,0.847000, ,,
101,0.581525,0.587327,0.846000, ,,
102,0.575938,0.582459,0.846000, ,,
103,0.570605,0.577869,0.846000, ,,
104,0.565312,0.573359,0.848000, ,,
105,0.560359,0.568846,0.851000, ,,
106,0.555134,0.563957,0.851000, ,,
107,0.550213,0.559756,0.851000, ,,
108,0.545411,0.555808,0.855000, ,,
109,0.540829,0.551877,0.852000, ,,
110,0.536041,0.547686,0.854000, ,,
111,0.531525,0.543679,0.857000, ,,
112,0.527300,0.540216,0.859000, ,,
113,0.523007,0.536331,0.860000, ,,
114,0.518646,0.532552,0.860000, ,,
115,0.514456,0.529001,0.861000, ,,
116,0.510419,0.525398,0.863000, ,,
117,0.506451,0.522234,0.861000, ,,
118,0.502463,0.519333,0.862000, ,,
119,0.498755,0.515883,0.861000, ,,
120,0.495125,0.512909,0.861000, ,,
121,0.491585,0.509482,0.861000, ,,
122,0.487850,0.506616,0.863000, ,,
123,0.484394,0.503616,0.863000, ,,
124,0.481054,0.500315,0.863000, ,,
125,0.477539,0.497692,0.862000, ,,
126,0.474343,0.495264,0.865000, ,,
127,0.470979,0.492880,0.861000, ,,
128,0.467881,0.489989,0.865000, ,,
129,0.464769,0.487030,0.865000, ,,
130,0.461797,0.484661,0.865000, ,,
131,0.458850,0.482253,0.865000, ,,
132,0.455917,0.479709,0.867000, ,,
133,0.452934,0.477550,0.867000, ,,
134,0.450255,0.475055,0.866000, ,,
135,0.447399,0.473067,0.866000, ,,
136,0.444679,0.470651,0.868000, ,,
137,0.442200,0.468231,0.868000, ,,
138,0.439627,0.466371,0.868000, ,,
139,0.436956,0.464244,0.867000, ,,
140,0.434558,0.462256,0.869000, ,,
141,0.431922,0.459852,0.866000, ,,
142,0.429483,0.457920,0.871000, ,,
143,0.427167,0.456096,0.869000, ,,
144,0.424695,0.454351,0.870000, ,,
145,0.422635,0.452512,0.868000, ,,
146,0.420250,0.450644,0.870000, ,,
147,0.418089,0.448968,0.871000, ,,
148,0.415897,0.446782,0.871000, ,,
149,0.413681,0.445113,0.872000, ,,
150,0.411688,0.443571,0.871000, ,,
151,0.409671,0.442105,0.873000, ,,
152,0.407442,0.440712,0.871000, ,,
153,0.405491,0.438653,0.873000, ,,
154,0.403627,0.436948,0.874000, ,,
155,0.401530,0.435486,0.875000, ,,
156,0.399740,0.433929,0.873000, ,,
157,0.397786,0.432342,0.874000, ,,
158,0.395946,0.430945,0.874000, ,,
159,0.394164,0.429734,0.876000, ,,
160,0.392381,0.428290,0.875000, ,,
161,0.390576,0.426756,0.877000, ,,
162,0.388933,0.425218,0.875000, ,,
163,0.387242,0.423748,0.875000, ,,
164,0.385483,0.422364,0.876000, ,,
165,0.383879,0.421233,0.875000, ,,
166,0.382278,0.419851,0.875000, ,,
167,0.380680,0.418746,0.875000, ,,
168,0.379054,0.417615,0.875000, ,,
169,0.377444,0.416183,0.875000, ,,
170,0.376005,0.415082,0.876000, ,,
171,0.374404,0.414079,0.876000, ,,
172,0.372981,0.412524,0.875000, ,,
173,0.371421,0.411297,0.875000, ,,
174,0.370003,0.410141,0.876000, ,,
175,0.368541,0.409016,0.875000, ,,
176,0.367165,0.408050,0.876000, ,,
177,0.365801,0.406884,0.876000, ,,
178,0.364457,0.405887,0.875000, ,,
179,0.363076,0.404983,0.875000, ,,
180,0.361719,0.403489,0.876000, ,,
181,0.360352,0.402502,0.879000, ,,
182,0.359166,0.401659,0.878000, ,,
183,0.357829,0.400791,0.877000, ,,
184,0.356564,0.399746,0.879000, ,,
185,0.355264,0.398698,0.879000, ,,
186,0.354090,0.397390,0.879000, ,,
187,0.352822,0.396480,0.880000, ,,
188,0.351586,0.395763,0.881000, ,,
189,0.350461,0.394880,0.880000, ,,
190,0.349288,0.393954,0.880000, ,,
191,0.348038,0.392867,0.881000, ,,
192,0.346925,0.391923,0.881000, ,,
193,0.345828,0.390987,0.881000, ,,
194,0.344695,0.390244,0.882000, ,,
195,0.343576,0.389489,0.882000, ,,
196,0.342409,0.388634,0.882000, ,,
197,0.341404,0.387808,0.883000, ,,
198,0.340336,0.386676,0.882000, ,,
199,0.339238,0.385839,0.882000, ,,
200,0.338207,0.385456,0.882000, ,,
201,0.337159,0.384851,0.883000, ,,
202,0.336244,0.383866,0.882000, ,,
203,0.335109,0.382916,0.883000, ,,
204,0.334075,0.382258,0.882000, ,,
205,0.333121,0.381209,0.882000, ,,
206,0.332120,0.380499,0.883000, ,,
207,0.331177,0.379754,0.883000, ,,
208,0.330311,0.379129,0.883000, ,,
209,0.329271,0.378122,0.883000, ,,
210,0.328259,0.377336,0.883000, ,,
211,0.327410,0.376743,0.883000, ,,
212,0.326384,0.376045,0.883000, ,,
213,0.325673,0.375768,0.883000, ,,
214,0.324698,0.375044,0.883000, ,,
215,0.323771,0.374001,0.884000, ,,
216,0.322934,0.373364,0.885000, ,,
217,0.321976,0.372742,0.884000, ,,
218,0.321088,0.372214,0.884000, ,,
219,0.320193,0.371516,0.884000, ,,
220,0.319390,0.370962,0.884000, ,,
221,0.318573,0.370063,0.884000, ,,
222,0.317758,0.369343,0.885000, ,,
223,0.316948,0.368874,0.885000, ,,
224,0.316122,0.368489,0.883000, ,,
225,0.315230,0.368022,0.885000, ,,
226,0.314476,0.367364,0.886000, ,,
227,0.313678,0.366511,0.885000, ,,
228,0.312893,0.365830,0.885000, ,,
229,0.312097,0.365426,0.885000, ,,
230,0.311259,0.364615,0.884000, ,,
231,0.310548,0.363870,0.884000, ,,
232,0.309789,0.363356,0.885000, ,,
233,0.309008,0.363138,0.885000, ,,
234,0.308228,0.362604,0.886000, ,,
235,0.307530,0.361866,0.886000, ,,
236,0.306778,0.361526,0.885000, ,,
237,0.306011,0.361027,0.886000, ,,
238,0.305338,0.360171,0.887000, ,,
239,0.304615,0.359669,0.886000, ,,
240,0.303927,0.359415,0.886000, ,,
241,0.303202,0.358720,0.887000, ,,
242,0.302566,0.358156,0.887000, ,,
243,0.301917,0.357452,0.888000, ,,
244,0.301102,0.357140,0.887000, ,,
245,0.300486,0.356794,0.887000, ,,
246,0.299731,0.356226,0.888000, ,,
247,0.299076,0.355901,0.888000, ,,
248,0.298428,0.355346,0.887000, ,,
249,0.297665,0.354771,0.887000, ,,
250,0.297188,0.354369,0.887000, ,,
251,0.296458,0.353604,0.887000, ,,
252,0.295821,0.353096,0.889000, ,,
253,0.295128,0.352767,0.888000, ,,
254,0.294495,0.352652,0.886000, ,,
255,0.293830,0.352129,0.888000, ,,
256,0.293301,0.351365,0.889000, ,,
257,0.292572,0.351225,0.888000, ,,
258,0.291974,0.350703,0.887000, ,,
259,0.291400,0.349908,0.887000, ,,
260,0.290745,0.349507,0.888000, ,,
261,0.290211,0.349112,0.888000, ,,
262,0.289545,0.348730,0.888000, ,,
263,0.288920,0.348691,0.888000, ,,
264,0.288507,0.348301,0.887000, ,,
265,0.287715,0.347758,0.888000, ,,
266,0.287250,0.347407,0.889000, ,,
267,0.286664,0.346629,0.890000, ,,
268,0.286062,0.346402,0.889000, ,,
269,0.285380,0.346001,0.889000, ,,
270,0.284820,0.345425,0.890000, ,,
271,0.284350,0.344986,0.889000, ,,
272,0.283647,0.344921,0.889000, ,,
273,0.283142,0.344553,0.889000, ,,
274,0.282588,0.344176,0.889000, ,,
275,0.282111,0.343799,0.891000, ,,
276,0.281463,0.343167,0.891000, ,,
277,0.280918,0.342753,0.890000, ,,
278,0.280509,0.342638,0.889000, ,,
279,0.279815,0.342120,0.890000, ,,
280,0.279357,0.341653,0.892000, ,,
281,0.278843,0.341317,0.892000, ,,
282,0.278299,0.341118,0.890000, ,,
283,0.277764,0.340497,0.892000, ,,
284,0.277224,0.340343,0.891000, ,,
285,0.276713,0.340203,0.891000, ,,
286,0.276269,0.339579,0.892000, ,,
287,0.275662,0.339334,0.891000, ,,
288,0.275181,0.338987,0.892000, ,,
289,0.274647,0.338568,0.892000, ,,
290,0.274126,0.338121,0.892000, ,,
291,0.273594,0.337915,0.892000, ,,
292,0.273145,0.337593,0.892000, ,,
293,0.272771,0.337018,0.892000, ,,
294,0.272144,0.337060,0.892000, ,,
295,0.271629,0.336991,0.892000, ,,
296,0.271144,0.336413,0.892000, ,,
297,0.270758,0.335902,0.892000, ,,
298,0.270202,0.335605,0.892000, ,,
299,0.269713,0.335417,0.892000, ,,
300,0.269164,0.335118,0.892000, ,,
301,0.268892,0.334943,0.894000, ,,
302,0.268311,0.334506,0.894000, ,,
303,0.267804,0.334191,0.895000, ,,
304,0.267310,0.333818,0.895000, ,,
305,0.266883,0.333249,0.897000, ,,
306,0.266454,0.333133,0.895000, ,,
307,0.265950,0.332959,0.896000, ,,
308,0.265579,0.332764,0.896000, ,,
309,0.265119,0.332401,0.896000, ,,
310,0.264557,0.332249,0.898000, ,,
311,0.264180,0.331906,0.896000, ,,
312,0.263802,0.331415,0.896000, ,,
313,0.263258,0.331151,0.898000, ,,
314,0.262821,0.331013,0.898000, ,,
315,0.262396,0.330622,0.898000, ,,
