Epoch, training loss, validation loss, validation accuracy,,,
1,2.406588,2.312532,0.079000,,,
2,2.309230,2.305735,0.119000,,,
3,2.304863,2.290990,0.119000,,,
4,2.287453,2.279396,0.118000,,,
5,2.281825,2.273509,0.132000,,,
6,2.273689,2.265394,0.217000,,,
7,2.266227,2.258579,0.221000,,,
8,2.259412,2.251638,0.257000,,,
9,2.252047,2.243840,0.353000,,,
10,2.244741,2.235919,0.334000,,,
11,2.236871,2.228706,0.436000,,,
12,2.229057,2.220126,0.437000,,,
13,2.220624,2.211142,0.461000,,,
14,2.211749,2.202082,0.494000,,,
15,2.202892,2.192240,0.520000,,,
16,2.193078,2.182477,0.556000,,,
17,2.183017,2.171596,0.550000,,,
18,2.171512,2.159786,0.562000,,,
19,2.160101,2.147762,0.580000,,,
20,2.147588,2.134012,0.550000,,,
21,2.134551,2.120245,0.576000,,,
22,2.120450,2.104826,0.587000,,,
23,2.105539,2.089642,0.603000,,,
24,2.089136,2.072286,0.608000,,,
25,2.071917,2.053313,0.603000,,,
26,2.053171,2.033999,0.615000,,,
27,2.033320,2.013790,0.628000,,,
28,2.012840,1.991210,0.624000,,,
29,1.989880,1.967034,0.622000,,,
30,1.966439,1.942273,0.624000,,,
31,1.941694,1.916380,0.633000,,,
32,1.914909,1.888144,0.635000,,,
33,1.887095,1.859197,0.641000,,,
34,1.858175,1.828735,0.647000,,,
35,1.827663,1.796555,0.636000,,,
36,1.796117,1.764113,0.646000,,,
37,1.763721,1.730363,0.650000,,,
38,1.730073,1.696192,0.652000,,,
39,1.695897,1.660658,0.653000,,,
40,1.660792,1.625317,0.666000,,,
41,1.625675,1.589718,0.671000,,,
42,1.590384,1.553517,0.665000,,,
43,1.555068,1.517784,0.669000,,,
44,1.519880,1.483030,0.683000,,,
45,1.484756,1.447660,0.684000,,,
46,1.450613,1.413707,0.684000,,,
47,1.416904,1.380041,0.687000,,,
48,1.383800,1.347582,0.688000,,,
49,1.352472,1.316480,0.693000,,,
50,1.321151,1.286645,0.710000,,,
51,1.291220,1.256740,0.705000,,,
52,1.262146,1.228280,0.714000,,,
53,1.234593,1.201098,0.716000,,,
54,1.207538,1.175811,0.719000,,,
55,1.181983,1.151291,0.721000,,,
56,1.157483,1.126993,0.727000,,,
57,1.133716,1.104190,0.732000,,,
58,1.110918,1.082057,0.734000,,,
59,1.089064,1.060986,0.731000,,,
60,1.068078,1.041321,0.738000,,,
61,1.047904,1.022101,0.750000,,,
62,1.028697,1.003971,0.759000,,,
63,1.010026,0.985532,0.746000,,,
64,0.991946,0.968156,0.759000,,,
65,0.974600,0.952484,0.768000,,,
66,0.957841,0.936453,0.769000,,,
67,0.941596,0.920736,0.770000,,,
68,0.926167,0.906010,0.776000,,,
69,0.911178,0.892033,0.779000,,,
70,0.896392,0.878335,0.782000,,,
71,0.882269,0.864562,0.787000,,,
72,0.868637,0.852039,0.788000,,,
73,0.855247,0.839280,0.787000,,,
74,0.842376,0.827341,0.797000,,,
75,0.830040,0.815849,0.795000,,,
76,0.817718,0.804136,0.800000,,,
77,0.805914,0.793372,0.803000,,,
78,0.794505,0.782635,0.807000,,,
79,0.783520,0.772063,0.803000,,,
