Epoch, training loss, validation loss, validation accuracy, ,,
1,2.391930,2.314500,0.096000, ,,
2,2.304095,2.305427,0.117000, ,,
3,2.312296,2.301492,0.117000, ,,
4,2.301951,2.299212,0.119000, ,,
5,2.301865,2.301033,0.113000, ,,
6,2.301766,2.299088,0.123000, ,,
7,2.301150,2.298684,0.107000, ,,
8,2.300910,2.298072,0.119000, ,,
9,2.301169,2.298366,0.097000, ,,
10,2.300749,2.298083,0.117000, ,,
11,2.301141,2.297913,0.119000, ,,
12,2.300877,2.298129,0.117000, ,,
13,2.300524,2.298413,0.119000, ,,
14,2.300677,2.297664,0.136000, ,,
15,2.300735,2.298088,0.118000, ,,
16,2.300479,2.297939,0.119000, ,,
17,2.300406,2.297831,0.119000, ,,
18,2.300040,2.297592,0.119000, ,,
19,2.300103,2.297245,0.119000, ,,
20,2.299917,2.297317,0.119000, ,,
21,2.300516,2.297919,0.121000, ,,
22,2.299882,2.298126,0.156000, ,,
23,2.300181,2.297403,0.119000, ,,
24,2.299950,2.297300,0.119000, ,,
25,2.300123,2.297341,0.119000, ,,
26,2.300011,2.297502,0.141000, ,,
27,2.299515,2.296859,0.119000, ,,
28,2.299599,2.296886,0.119000, ,,
29,2.299944,2.296942,0.111000, ,,
30,2.299569,2.296704,0.148000, ,,
31,2.299656,2.296656,0.119000, ,,
32,2.299537,2.296723,0.114000, ,,
33,2.299302,2.296595,0.127000, ,,
34,2.299245,2.297023,0.119000, ,,
35,2.299048,2.296890,0.105000, ,,
36,2.298847,2.296311,0.119000, ,,
37,2.299394,2.296130,0.119000, ,,
38,2.299123,2.297140,0.173000, ,,
39,2.298976,2.295916,0.135000, ,,
40,2.298802,2.296213,0.126000, ,,
41,2.298658,2.296274,0.119000, ,,
42,2.298701,2.296119,0.119000, ,,
43,2.298301,2.295653,0.119000, ,,
44,2.298427,2.295527,0.139000, ,,
45,2.298248,2.295947,0.119000, ,,
46,2.298082,2.296265,0.126000, ,,
47,2.298449,2.295632,0.206000, ,,
48,2.298320,2.295313,0.119000, ,,
49,2.298234,2.296085,0.119000, ,,
50,2.298495,2.295300,0.145000, ,,
51,2.297684,2.295524,0.237000, ,,
52,2.297877,2.296067,0.221000, ,,
53,2.297540,2.295116,0.119000, ,,
54,2.297602,2.294930,0.119000, ,,
55,2.297835,2.295049,0.119000, ,,
56,2.298267,2.295217,0.121000, ,,
57,2.297212,2.295249,0.119000, ,,
58,2.297258,2.295137,0.122000, ,,
59,2.297187,2.294552,0.177000, ,,
60,2.297257,2.294516,0.119000, ,,
61,2.297221,2.294889,0.121000, ,,
62,2.297252,2.294573,0.200000, ,,
63,2.297005,2.294560,0.119000, ,,
64,2.296667,2.294970,0.148000, ,,
65,2.297248,2.294865,0.136000, ,,
66,2.296927,2.294056,0.148000, ,,
67,2.296825,2.294429,0.184000, ,,
68,2.296591,2.294238,0.119000, ,,
69,2.296464,2.294341,0.119000, ,,
70,2.296487,2.294159,0.177000, ,,
71,2.296226,2.293627,0.218000, ,,
72,2.296612,2.294198,0.119000, ,,
73,2.296110,2.293728,0.119000, ,,
74,2.296063,2.293369,0.119000, ,,
75,2.295898,2.293977,0.119000, ,,
76,2.296071,2.293574,0.142000, ,,
77,2.295757,2.293838,0.180000, ,,
78,2.296111,2.294209,0.119000, ,,
79,2.295260,2.293362,0.119000, ,,
80,2.295516,2.293008,0.139000, ,,
81,2.295694,2.293078,0.199000, ,,
82,2.295544,2.293592,0.119000, ,,
83,2.295436,2.293137,0.119000, ,,
84,2.295248,2.293079,0.119000, ,,
85,2.295330,2.292690,0.119000, ,,
86,2.295692,2.293282,0.228000, ,,
87,2.295033,2.292730,0.119000, ,,
88,2.294989,2.292930,0.119000, ,,
89,2.295178,2.292501,0.136000, ,,
90,2.294984,2.293123,0.229000, ,,
91,2.294712,2.292223,0.191000, ,,
92,2.294914,2.292828,0.129000, ,,
93,2.294651,2.292513,0.119000, ,,
94,2.294513,2.292343,0.119000, ,,
95,2.294436,2.291599,0.231000, ,,
96,2.294278,2.291919,0.230000, ,,
97,2.294437,2.292418,0.184000, ,,
98,2.294364,2.292053,0.119000, ,,
99,2.294117,2.291796,0.119000, ,,
100,2.293827,2.291390,0.150000, ,,
101,2.293764,2.291652,0.201000, ,,
102,2.293791,2.291894,0.151000, ,,
103,2.293401,2.291099,0.155000, ,,
104,2.293579,2.291142,0.164000, ,,
105,2.293265,2.291764,0.119000, ,,
106,2.293392,2.291477,0.120000, ,,
107,2.293153,2.290777,0.216000, ,,
108,2.293167,2.290722,0.143000, ,,
109,2.293198,2.291202,0.145000, ,,
110,2.293758,2.290748,0.119000, ,,
111,2.292886,2.290815,0.119000, ,,
112,2.292957,2.290841,0.198000, ,,
113,2.292576,2.290650,0.119000, ,,
114,2.292597,2.290479,0.172000, ,,
115,2.292573,2.290243,0.119000, ,,
116,2.292179,2.290381,0.119000, ,,
117,2.292295,2.290279,0.164000, ,,
118,2.292337,2.289858,0.135000, ,,
119,2.291947,2.289934,0.119000, ,,
120,2.292138,2.289781,0.195000, ,,
121,2.292119,2.290251,0.119000, ,,
122,2.291936,2.289982,0.167000, ,,
123,2.291569,2.289310,0.119000, ,,
124,2.291427,2.289505,0.119000, ,,
125,2.291292,2.289484,0.141000, ,,
126,2.291396,2.289077,0.119000, ,,
127,2.291383,2.289296,0.230000, ,,
128,2.291391,2.289826,0.204000, ,,
129,2.291289,2.288956,0.119000, ,,
130,2.291307,2.288947,0.228000, ,,
131,2.290722,2.289317,0.137000, ,,
132,2.290922,2.288690,0.119000, ,,
133,2.291102,2.288868,0.277000, ,,
134,2.290804,2.288456,0.119000, ,,
135,2.290245,2.288631,0.161000, ,,
136,2.290269,2.288143,0.195000, ,,
137,2.290291,2.288085,0.232000, ,,
138,2.290273,2.287976,0.119000, ,,
139,2.289957,2.287481,0.144000, ,,
140,2.290170,2.288524,0.212000, ,,
141,2.289776,2.288122,0.224000, ,,
142,2.289411,2.287531,0.124000, ,,
143,2.289540,2.287050,0.125000, ,,
144,2.289788,2.287882,0.222000, ,,
145,2.289066,2.287296,0.127000, ,,
146,2.289057,2.286891,0.158000, ,,
147,2.289065,2.287118,0.142000, ,,
148,2.289219,2.287287,0.217000, ,,
149,2.288830,2.286892,0.280000, ,,
150,2.288528,2.286652,0.139000, ,,
151,2.288612,2.286537,0.185000, ,,
152,2.288415,2.286754,0.308000, ,,
153,2.288657,2.286488,0.119000, ,,
154,2.288472,2.286460,0.245000, ,,
155,2.287918,2.286102,0.264000, ,,
156,2.287754,2.286050,0.148000, ,,
157,2.288036,2.286177,0.222000, ,,
158,2.287729,2.285881,0.120000, ,,
159,2.287447,2.285773,0.208000, ,,
160,2.287392,2.285746,0.285000, ,,
161,2.287858,2.285197,0.119000, ,,
162,2.287489,2.285063,0.161000, ,,
163,2.286986,2.285240,0.232000, ,,
164,2.286904,2.284834,0.287000, ,,
165,2.286567,2.284613,0.162000, ,,
166,2.286426,2.285133,0.166000, ,,
167,2.286539,2.284564,0.231000, ,,
168,2.286169,2.284352,0.149000, ,,
169,2.286288,2.284530,0.216000, ,,
170,2.285907,2.284252,0.123000, ,,
171,2.285789,2.284187,0.228000, ,,
172,2.285891,2.284147,0.217000, ,,
