Epoch, training loss, validation loss, validation accuracy, ,,
1,2.398641,2.330184,0.124000, ,,
2,2.314619,2.305024,0.125000, ,,
3,2.305847,2.298983,0.098000, ,,
4,2.293062,2.284925,0.217000, ,,
5,2.284315,2.277616,0.217000, ,,
6,2.276420,2.269149,0.196000, ,,
7,2.269031,2.261674,0.261000, ,,
8,2.259886,2.253137,0.303000, ,,
9,2.251585,2.244915,0.324000, ,,
10,2.243810,2.237141,0.369000, ,,
11,2.234742,2.228033,0.368000, ,,
12,2.226150,2.217672,0.339000, ,,
13,2.216457,2.208589,0.439000, ,,
14,2.206493,2.198870,0.471000, ,,
15,2.196122,2.187945,0.448000, ,,
16,2.185546,2.176721,0.476000, ,,
17,2.173925,2.164736,0.507000, ,,
18,2.161935,2.151500,0.523000, ,,
19,2.148815,2.138342,0.565000, ,,
20,2.135146,2.124328,0.578000, ,,
21,2.120283,2.109097,0.582000, ,,
22,2.105284,2.092316,0.576000, ,,
23,2.088389,2.074796,0.574000, ,,
24,2.071416,2.056432,0.600000, ,,
25,2.052128,2.036737,0.604000, ,,
26,2.032064,2.016077,0.607000, ,,
27,2.010763,1.993437,0.606000, ,,
28,1.988500,1.969521,0.623000, ,,
29,1.964523,1.945036,0.623000, ,,
30,1.939163,1.918741,0.627000, ,,
31,1.912390,1.890812,0.632000, ,,
32,1.884663,1.861919,0.639000, ,,
33,1.855534,1.831736,0.642000, ,,
34,1.825058,1.799739,0.637000, ,,
35,1.793635,1.768142,0.646000, ,,
36,1.761223,1.734287,0.654000, ,,
37,1.727602,1.700179,0.653000, ,,
38,1.693444,1.665506,0.662000, ,,
39,1.658366,1.629776,0.663000, ,,
40,1.623298,1.594592,0.671000, ,,
41,1.587809,1.558364,0.672000, ,,
42,1.552032,1.522941,0.678000, ,,
43,1.516690,1.486983,0.676000, ,,
44,1.481235,1.451755,0.681000, ,,
45,1.446384,1.417757,0.696000, ,,
46,1.411797,1.383466,0.697000, ,,
47,1.378343,1.349650,0.704000, ,,
48,1.345443,1.317671,0.711000, ,,
49,1.313306,1.286554,0.715000, ,,
50,1.282103,1.255196,0.716000, ,,
51,1.251915,1.226004,0.714000, ,,
52,1.222959,1.197961,0.722000, ,,
53,1.194998,1.170924,0.728000, ,,
54,1.167801,1.144395,0.738000, ,,
55,1.141861,1.119297,0.738000, ,,
56,1.116909,1.095424,0.741000, ,,
57,1.093043,1.072707,0.748000, ,,
58,1.070217,1.050592,0.758000, ,,
59,1.048101,1.029094,0.763000, ,,
60,1.026861,1.008932,0.766000, ,,
61,1.006668,0.989590,0.771000, ,,
62,0.986864,0.971290,0.777000, ,,
63,0.968488,0.953346,0.784000, ,,
64,0.950220,0.935928,0.784000, ,,
65,0.932860,0.919470,0.785000, ,,
66,0.916422,0.903241,0.783000, ,,
67,0.900102,0.888463,0.788000, ,,
68,0.884695,0.873690,0.790000, ,,
69,0.869949,0.859882,0.792000, ,,
70,0.855307,0.845704,0.798000, ,,
71,0.841179,0.832573,0.795000, ,,
72,0.827757,0.820570,0.798000, ,,
73,0.814650,0.807864,0.799000, ,,
74,0.801992,0.795637,0.805000, ,,
75,0.789801,0.784744,0.814000, ,,
76,0.778468,0.773608,0.817000, ,,
77,0.766838,0.762858,0.812000, ,,
78,0.755583,0.752884,0.818000, ,,
79,0.744849,0.742771,0.824000, ,,
80,0.734304,0.733221,0.823000, ,,
81,0.724401,0.723573,0.825000, ,,
82,0.714734,0.714996,0.826000, ,,
83,0.705089,0.706212,0.828000, ,,
84,0.696033,0.697849,0.831000, ,,
85,0.687133,0.689269,0.831000, ,,
86,0.678462,0.681446,0.836000, ,,
87,0.670033,0.674228,0.833000, ,,
88,0.661916,0.666639,0.835000, ,,
89,0.654091,0.658964,0.837000, ,,
90,0.646306,0.652267,0.838000, ,,
91,0.638887,0.645492,0.840000, ,,
92,0.631531,0.639169,0.843000, ,,
93,0.624758,0.632539,0.840000, ,,
94,0.617912,0.626373,0.841000, ,,
95,0.611128,0.620357,0.843000, ,,
96,0.604958,0.614456,0.846000, ,,
97,0.598580,0.608704,0.846000, ,,
98,0.592433,0.603803,0.848000, ,,
99,0.586447,0.598231,0.847000, ,,
100,0.580594,0.592881,0.847000, ,,
